,Review Number,Review,Opinion,review_clean,Review_Length,Clean_Feedback,Feedbacks_without_stopwords,Feedback_without_stopwords_Length
18,berlin-hotel-190599-review-3.json_3,Too much attention on 'fabulousness' throughout the hotel (the public spaces are sleek and unwelcoming) and not enough on basic guest comfort.,0.0,too much attention on fabulousness throughout the hotel the public spaces are sleek and unwelcoming and not enough on basic guest comfort,137,too much attention on fabulousness throughout the hotel the public spaces are sleek and unwelcoming and not enough on basic guest comfort,much attention fabulousness throughout hotel public spaces sleek unwelcoming enough basic guest comfort,13
19,berlin-hotel-190599-review-4.json_0,"Having previously enjoyed a great week's stay at the sister art'otel in Berlin (the Warhol-themed City Centre West), we decided to book a 4-night stay at this hotel so we could visit more of the sights on the eastern s",,having previously enjoyed great week's stay at the sister art'otel in berlin the warhol-themed city centre west we decided to book stay at this hotel so we could visit more of the sights on the eastern,201,having previously enjoyed great weeks stay at the sister artotel in berlin the warholthemed city centre west we decided to book stay at this hotel so we could visit more of the sights on the eastern,previously enjoyed great weeks stay sister artotel berlin warholthemed city centre west decided book stay hotel could visit sights eastern,20
20,berlin-hotel-190599-review-4.json_1,The difference was stark.,0.0,the difference was stark,24,the difference was stark,difference stark,2
21,berlin-hotel-190599-review-4.json_2,"This hotel is located in a very quiet district - barely a passing car on a weekday, completely dead at the weekendand with no local facilities.",0.0,this hotel is located in very quiet district barely passing car on weekday completely dead at the weekendand with no local facilities,133,this hotel is located in very quiet district barely passing car on weekday completely dead at the weekendand with no local facilities,hotel located quiet district barely passing car weekday completely dead weekendand local facilities,13
22,berlin-hotel-190599-review-4.json_3,The one bar round the corner had one old pensioner propping the bar up on a Friday evening.,0.0,the one bar round the corner had one old pensioner propping the bar up on friday evening,88,the one bar round the corner had one old pensioner propping the bar up on friday evening,one bar round corner one old pensioner propping bar friday evening,11
23,berlin-hotel-190599-review-4.json_4,The hotel itself is already showing signs of age.,0.0,the hotel itself is already showing signs of age,48,the hotel itself is already showing signs of age,hotel already showing signs age,5
24,berlin-hotel-190599-review-4.json_5,"The fixtures and fittings in the room were tired and worn; edges of shelves worn away, carpets badly stained, window blinds torn and damaged.",0.0,the fixtures and fittings in the room were tired and worn edges of shelves worn away carpets badly stained window blinds torn and damaged,137,the fixtures and fittings in the room were tired and worn edges of shelves worn away carpets badly stained window blinds torn and damaged,fixtures fittings room tired worn edges shelves worn away carpets badly stained window blinds torn damaged,16
25,berlin-hotel-190599-review-4.json_6,"The room was very much smaller than in the sister hotel,",0.0,the room was very much smaller than in the sister hotel,55,the room was very much smaller than in the sister hotel,room much smaller sister hotel,5
26,berlin-hotel-190599-review-4.json_7,though the bed was amply sized as in all German hotels.,0.0,though the bed was amply sized as in all german hotels,54,though the bed was amply sized as in all german hotels,though bed amply sized german hotels,6
27,berlin-hotel-190599-review-4.json_8,Only one almost useless pillow per person though (think no thicker than a cracker) and no availability of additional bed linen as most other hotels would normally provide.,0.0,only one almost useless pillow per person though think no thicker than cracker and no availability of additional bed linen as most other hotels would normally provide,166,only one almost useless pillow per person though think no thicker than cracker and no availability of additional bed linen as most other hotels would normally provide,one almost useless pillow per person though think thicker cracker availability additional bed linen hotels would normally provide,18
28,berlin-hotel-190599-review-4.json_9,The room was effectively air conditioned (i.e. you could control temperature and speed yourself),0.0,the room was effectively air conditioned i.e you could control temperature and speed yourself,93,the room was effectively air conditioned ie you could control temperature and speed yourself,room effectively air conditioned ie could control temperature speed,9
29,berlin-hotel-190599-review-4.json_10,"and this is essential as the hotel's proximity to a very still tributary to the Spree means that the area is plagued by large, voracious mosquitoes.",0.0,and this is essential as the hotel's proximity to very still tributary to the spree means that the area is plagued by large voracious mosquitoes,144,and this is essential as the hotels proximity to very still tributary to the spree means that the area is plagued by large voracious mosquitoes,essential hotels proximity still tributary spree means area plagued large voracious mosquitoes,12
30,berlin-hotel-190599-review-4.json_11,Leaving your bedroom window open is not an option as my heavily bitten body will testify!,0.0,leaving your bedroom window open is not an option as my heavily bitten body will testify,88,leaving your bedroom window open is not an option as my heavily bitten body will testify,leaving bedroom window open option heavily bitten body testify,9
31,berlin-hotel-190599-review-4.json_12,During my stay I needed to use the internet in order to check-in for our return flight.,0.0,during my stay needed to use the internet in order to check-in for our return flight,84,during my stay needed to use the internet in order to checkin for our return flight,stay needed use internet order checkin return flight,8
32,berlin-hotel-190599-review-4.json_13,The cost of using the solitary PC in the lobby was extortionate.,0.0,the cost of using the solitary pc in the lobby was extortionate,63,the cost of using the solitary pc in the lobby was extortionate,cost using solitary pc lobby extortionate,6
33,berlin-hotel-190599-review-4.json_14,"Given the low cost of internet access and PC hardware, all decent hotels now offer such 'business centre' services for free - here,",0.0,given the low cost of internet access and pc hardware all decent hotels now offer such business centre services for free here,125,given the low cost of internet access and pc hardware all decent hotels now offer such business centre services for free here,given low cost internet access pc hardware decent hotels offer business centre services free,14
34,berlin-hotel-190599-review-4.json_15,it was a credit card driven system charging 1Euro for 3 minutes online time and extra for every printed page.,0.0,it was credit card driven system charging for minutes online time and extra for every printed page,98,it was credit card driven system charging for minutes online time and extra for every printed page,credit card driven system charging minutes online time extra every printed page,12
35,berlin-hotel-190599-review-4.json_16,"As a general tip, if you need to use the internet whilst in Berlin, look up the Easy Internet cafes before you go, there's a huge one in Kurfurstendam",1.0,as general tip if you need to use the internet whilst in berlin look up the easy internet cafes before you go there's huge one in kurfurstendam,143,as general tip if you need to use the internet whilst in berlin look up the easy internet cafes before you go theres huge one in kurfurstendam,general tip need use internet whilst berlin look easy internet cafes go theres huge one kurfurstendam,16
36,berlin-hotel-190599-review-4.json_17,and at least one more I saw elsewhere - there access costs 1 Euro for an hour!,0.0,and at least one more saw elsewhere there access costs euro for an hour,71,and at least one more saw elsewhere there access costs euro for an hour,least one saw elsewhere access costs euro hour,8
37,berlin-hotel-190599-review-4.json_18,"Overall, the stay at Berlin Mitte was not what I expected from a hotel chain which calls its most basic room 'Superior'.",0.0,overall the stay at berlin mitte was not what expected from hotel chain which calls its most basic room superior,112,overall the stay at berlin mitte was not what expected from hotel chain which calls its most basic room superior,overall stay berlin mitte expected hotel chain calls basic room superior,11
38,berlin-hotel-190599-review-4.json_19,It needs to decide whether it wants to be 'designer' or just a smart hostel.,0.0,it needs to decide whether it wants to be designer or just smart hostel,71,it needs to decide whether it wants to be designer or just smart hostel,needs decide whether wants designer smart hostel,7
39,berlin-hotel-190599-review-4.json_20,"For UK travellers, the room was the same size",0.0,for uk travellers the room was the same size,44,for uk travellers the room was the same size,uk travellers room size,4
40,berlin-hotel-190599-review-4.json_21,and in the same condition as you'd find in a Travelodge.,0.0,and in the same condition as you'd find in travelodge,53,and in the same condition as youd find in travelodge,condition youd find travelodge,4
41,berlin-hotel-190599-review-4.json_22,"If you expect no more than that, you won't be disappointed.",1.0,if you expect no more than that you won't be disappointed,57,if you expect no more than that you wont be disappointed,expect wont disappointed,3
42,berlin-hotel-190599-review-4.json_23,"Also, if you're the kind of person who likes to step out of their hotel and straight into the action,",0.0,also if you're the kind of person who likes to step out of their hotel and straight into the action,99,also if youre the kind of person who likes to step out of their hotel and straight into the action,also youre kind person likes step hotel straight action,9
43,berlin-hotel-190599-review-4.json_24,this won't ring your bell as all destinations will require at least a half hour walk or public transport journey.,0.0,this won't ring your bell as all destinations will require at least half hour walk or public transport journey,110,this wont ring your bell as all destinations will require at least half hour walk or public transport journey,wont ring bell destinations require least half hour walk public transport journey,12
44,berlin-hotel-190599-review-5.json_0,"Rooms nices, Staff helpful.",0.0,rooms nices staff helpful,25,rooms nices staff helpful,rooms nices staff helpful,4
45,berlin-hotel-190599-review-5.json_1,"Beds firm, pillows very soft.",0.0,beds firm pillows very soft,27,beds firm pillows very soft,beds firm pillows soft,4
46,berlin-hotel-190599-review-5.json_2,"No shampoo provided in the room, Shower Gel dispensers don't work well.",0.0,no shampoo provided in the room shower gel dispensers don't work well,69,no shampoo provided in the room shower gel dispensers dont work well,shampoo provided room shower gel dispensers dont work well,9
47,berlin-hotel-190599-review-5.json_3,"Breakfast expensive, supermarket not far, Good value Internet cafe nearby.",0.0,breakfast expensive supermarket not far good value internet cafe nearby,71,breakfast expensive supermarket not far good value internet cafe nearby,breakfast expensive supermarket far good value internet cafe nearby,9
48,berlin-hotel-190599-review-5.json_4,Close to museum island and U-ban just outside hotel.,0.0,close to museum island and u-ban just outside hotel,51,close to museum island and uban just outside hotel,close museum island uban outside hotel,6
49,berlin-hotel-190599-review-6.json_0,"Our perfect hotel is one that offers a central location to the attractions we want to see - with spacious, comfortable rooms and good service.",0.0,our perfect hotel is one that offers central location to the attractions we want to see with spacious comfortable rooms and good service,136,our perfect hotel is one that offers central location to the attractions we want to see with spacious comfortable rooms and good service,perfect hotel one offers central location attractions want see spacious comfortable rooms good service,14
50,berlin-hotel-190599-review-6.json_1,"art'otel, Mitte in Berlin definitely fulfilled these requirements.",0.0,art'otel mitte in berlin definitely fulfilled these requirements,64,artotel mitte in berlin definitely fulfilled these requirements,artotel mitte berlin definitely fulfilled requirements,6
51,berlin-hotel-190599-review-6.json_2,Our room (superior double) was very spacious and extremely comfortable - with a bath for relaxing those tired walking muscles.,0.0,our room superior double was very spacious and extremely comfortable with bath for relaxing those tired walking muscles,119,our room superior double was very spacious and extremely comfortable with bath for relaxing those tired walking muscles,room superior double spacious extremely comfortable bath relaxing tired walking muscles,11
52,berlin-hotel-190599-review-6.json_3,The onsite restuarant was also excellent - supported by good advice on local eating establishments when we wanted to venture out.,0.0,the onsite restuarant was also excellent supported by good advice on local eating establishments when we wanted to venture out,126,the onsite restuarant was also excellent supported by good advice on local eating establishments when we wanted to venture out,onsite restuarant also excellent supported good advice local eating establishments wanted venture,12
53,berlin-hotel-190599-review-6.json_4,The Hotel is less than 1/2 block from the closest U Bhan station - but is situated in a quiet street.,0.0,the hotel is less than block from the closest bhan station but is situated in quiet street,90,the hotel is less than block from the closest bhan station but is situated in quiet street,hotel less block closest bhan station situated quiet street,9
54,berlin-hotel-190599-review-6.json_5,"Walking time to many sights (Unter den Linden, Gendarmenmakt, Deutches Museum, Checkpoint Charlie, Nikolaivertel etc. was less than 15 minutes - while virtually everything else was easily accessible by U-Bahn, starting",,walking time to many sights unter den linden gendarmenmakt deutches museum checkpoint charlie nikolaivertel etc was less than minutes while virtually everything else was easily accessible by u-bahn starting,206,walking time to many sights unter den linden gendarmenmakt deutches museum checkpoint charlie nikolaivertel etc was less than minutes while virtually everything else was easily accessible by ubahn starting,walking time many sights unter den linden gendarmenmakt deutches museum checkpoint charlie nikolaivertel etc less minutes virtually everything else easily accessible ubahn starting,23
55,berlin-hotel-190599-review-7.json_0,Spent 3 nights recently at the Artotel Berlin Mitte.,0.0,spent nights recently at the artotel berlin mitte,49,spent nights recently at the artotel berlin mitte,spent nights recently artotel berlin mitte,6
56,berlin-hotel-190599-review-7.json_1,"It was supposed to be a designer hotel,",0.0,it was supposed to be designer hotel,36,it was supposed to be designer hotel,supposed designer hotel,3
57,berlin-hotel-190599-review-7.json_2,"I have searched for the design,",0.0,have searched for the design,28,have searched for the design,searched design,2
58,berlin-hotel-190599-review-7.json_3,but I haven't found any kind of design in the rooms.,0.0,but haven't found any kind of design in the rooms,49,but havent found any kind of design in the rooms,havent found kind design rooms,5
59,berlin-hotel-190599-review-7.json_4,"May be the restaurant have something,",0.0,may be the restaurant have something,36,may be the restaurant have something,may restaurant something,3
60,berlin-hotel-190599-review-7.json_5,"but the rooms are poorly decorated, with common furniture.",0.0,but the rooms are poorly decorated with common furniture,56,but the rooms are poorly decorated with common furniture,rooms poorly decorated common furniture,5
61,berlin-hotel-190599-review-7.json_6,The bed was not very comfortable.,0.0,the bed was not very comfortable,32,the bed was not very comfortable,bed comfortable,2
62,berlin-hotel-190599-review-7.json_7,In the bathroom there is only liquid soap with two small towels.,0.0,in the bathroom there is only liquid soap with two small towels,63,in the bathroom there is only liquid soap with two small towels,bathroom liquid soap two small towels,6
63,berlin-hotel-190599-review-7.json_8,"Do not expect any kind of luxury at Artotel Berlin Mitte,",0.0,do not expect any kind of luxury at artotel berlin mitte,56,do not expect any kind of luxury at artotel berlin mitte,expect kind luxury artotel berlin mitte,6
64,berlin-hotel-190599-review-7.json_9,"it is only a basic hotel, but with a convenient location (50 meters from the metro, 2 metro stations from Alexander platz).",0.0,it is only basic hotel but with convenient location meters from the metro metro stations from alexander platz,109,it is only basic hotel but with convenient location meters from the metro metro stations from alexander platz,basic hotel convenient location meters metro metro stations alexander platz,10
65,berlin-hotel-190599-review-7.json_10,The breakfast was good and the staff friendly.,0.0,the breakfast was good and the staff friendly,45,the breakfast was good and the staff friendly,breakfast good staff friendly,4
66,berlin-hotel-190664-review-1.json_0,We stayed at The Regent in August for two days to celebrate my birthday.,0.0,we stayed at the regent in august for two days to celebrate my birthday,71,we stayed at the regent in august for two days to celebrate my birthday,stayed regent august two days celebrate birthday,7
67,berlin-hotel-190664-review-1.json_1,"Location.... perfect; staff.... warm, welcoming and professional; room... perfectly appointed; food... sublime.",0.0,location perfect staff warm welcoming and professional room perfectly appointed food sublime,92,location perfect staff warm welcoming and professional room perfectly appointed food sublime,location perfect staff warm welcoming professional room perfectly appointed food sublime,11
68,berlin-hotel-190664-review-1.json_2,Certainly one of... if not THE best hotels ever!,0.0,certainly one of if not the best hotels ever,44,certainly one of if not the best hotels ever,certainly one best hotels ever,5
69,berlin-hotel-191437-review-1.json_0,The hotel is ideally located.,0.0,the hotel is ideally located,28,the hotel is ideally located,hotel ideally located,3
70,berlin-hotel-191437-review-1.json_1,"If you're a walker, you are close to many attractions.",0.0,if you're walker you are close to many attractions,50,if youre walker you are close to many attractions,youre walker close many attractions,5
71,berlin-hotel-191437-review-1.json_2,"Room was big, bath was lovely, but watch out for the tile floor after you shower.",1.0,room was big bath was lovely but watch out for the tile floor after you shower,78,room was big bath was lovely but watch out for the tile floor after you shower,room big bath lovely watch tile floor shower,8
72,berlin-hotel-191437-review-1.json_3,"No curtains, and water pours off you onto the tile floor which has a drain.",0.0,no curtains and water pours off you onto the tile floor which has drain,71,no curtains and water pours off you onto the tile floor which has drain,curtains water pours onto tile floor drain,7
73,berlin-hotel-191437-review-1.json_4,Put your towel on the wet floor or you will definitely slip.,0.0,put your towel on the wet floor or you will definitely slip,59,put your towel on the wet floor or you will definitely slip,put towel wet floor definitely slip,6
74,berlin-hotel-191437-review-1.json_5,Desk staff needs to go to a Waldorf class on manners.,1.0,desk staff needs to go to waldorf class on manners,50,desk staff needs to go to waldorf class on manners,desk staff needs go waldorf class manners,7
75,berlin-hotel-191437-review-1.json_6,"Very cold reception, couldn't answer a few simple questions for directions to a few of the sights or an ATM.",0.0,very cold reception couldn't answer few simple questions for directions to few of the sights or an atm,102,very cold reception couldnt answer few simple questions for directions to few of the sights or an atm,cold reception couldnt answer simple questions directions sights atm,9
76,berlin-hotel-191437-review-1.json_7,Room was nice but does need to be vacuumed more frequently than ours was..,0.0,room was nice but does need to be vacuumed more frequently than ours was,72,room was nice but does need to be vacuumed more frequently than ours was,room nice need vacuumed frequently,5
77,berlin-hotel-191437-review-1.json_8,Pretzels and cookies under the bed.,0.0,pretzels and cookies under the bed,34,pretzels and cookies under the bed,pretzels cookies bed,3
78,berlin-hotel-191437-review-1.json_9,Chair upholstery needs to be cleaned.,1.0,chair upholstery needs to be cleaned,36,chair upholstery needs to be cleaned,chair upholstery needs cleaned,4
79,berlin-hotel-191437-review-1.json_10,We turned the cushions over.,0.0,we turned the cushions over,27,we turned the cushions over,turned cushions,2
80,berlin-hotel-191437-review-1.json_11,What a difference..,0.0,what difference,15,what difference,difference,1
81,berlin-hotel-191437-review-1.json_12,"Don't eat breakfast in the restaurant, too costly.",1.0,don't eat breakfast in the restaurant too costly,48,dont eat breakfast in the restaurant too costly,dont eat breakfast restaurant costly,5
82,berlin-hotel-191437-review-1.json_13,"Walk 2 to 3 blocks away and get a muffin, coffee, or egg sandwich for about 6 Euros..",1.0,walk to blocks away and get muffin coffee or egg sandwich for about euros,73,walk to blocks away and get muffin coffee or egg sandwich for about euros,walk blocks away get muffin coffee egg sandwich euros,9
83,berlin-hotel-191437-review-1.json_14,"Liked the room, and the location, but didn't care for the staff of the hotel.",0.0,liked the room and the location but didn't care for the staff of the hotel,74,liked the room and the location but didnt care for the staff of the hotel,liked room location didnt care staff hotel,7
84,berlin-hotel-191437-review-1.json_15,Look around the same area for another hotel.,1.0,look around the same area for another hotel,43,look around the same area for another hotel,look around area another hotel,5
85,berlin-hotel-191437-review-1.json_16,Think you can do better.,0.0,think you can do better,23,think you can do better,think better,2
86,berlin-hotel-191437-review-10.json_0,We stayed in the Westin Grand Berlin in July 2007.,0.0,we stayed in the westin grand berlin in july,44,we stayed in the westin grand berlin in july,stayed westin grand berlin july,5
87,berlin-hotel-191437-review-10.json_1,"In spite of the fact that the reservation we made through the Starwood Hotels website said our rooms would have Westin's renowned Heavenly Beds, we found that only a few suites actually have the beds.",0.0,in spite of the fact that the reservation we made through the starwood hotels website said our rooms would have westin's renowned heavenly beds we found that only few suites actually have the beds,196,in spite of the fact that the reservation we made through the starwood hotels website said our rooms would have westins renowned heavenly beds we found that only few suites actually have the beds,spite fact reservation made starwood hotels website said rooms would westins renowned heavenly beds found suites actually beds,18
88,berlin-hotel-191437-review-10.json_2,The beds we were subjected to were firm to the point of being like sleeping on a sidewalk.,0.0,the beds we were subjected to were firm to the point of being like sleeping on sidewalk,87,the beds we were subjected to were firm to the point of being like sleeping on sidewalk,beds subjected firm point like sleeping sidewalk,7
89,berlin-hotel-191437-review-10.json_3,"Had we not been told in advance how wonderful our stay would be because of the Heavenly Beds,",0.0,had we not been told in advance how wonderful our stay would be because of the heavenly beds,92,had we not been told in advance how wonderful our stay would be because of the heavenly beds,told advance wonderful stay would heavenly beds,7
90,berlin-hotel-191437-review-10.json_4,we might not have been as unpleasantly surprised.,0.0,we might not have been as unpleasantly surprised,48,we might not have been as unpleasantly surprised,might unpleasantly surprised,3
91,berlin-hotel-191437-review-10.json_5,The beds and fitness center made it definitely not like a usual Westin stay.,0.0,the beds and fitness center made it definitely not like usual westin stay,73,the beds and fitness center made it definitely not like usual westin stay,beds fitness center made definitely like usual westin stay,9
92,berlin-hotel-191437-review-10.json_6,The pool was lovely,0.0,the pool was lovely,19,the pool was lovely,pool lovely,2
93,berlin-hotel-191437-review-10.json_7,"but the work-out room was small, dimly-lit, and hot.",0.0,but the work-out room was small dimly-lit and hot,49,but the workout room was small dimlylit and hot,workout room small dimlylit hot,5
94,berlin-hotel-191437-review-10.json_8,"There were only two treadmills (one of which was broken), a Lifecycle bike, and four computerized weight machines.",0.0,there were only two treadmills one of which was broken lifecycle bike and four computerized weight machines,107,there were only two treadmills one of which was broken lifecycle bike and four computerized weight machines,two treadmills one broken lifecycle bike four computerized weight machines,10
95,berlin-hotel-191437-review-10.json_9,"There was also one ratty, old floor mat.",0.0,there was also one ratty old floor mat,38,there was also one ratty old floor mat,also one ratty old floor mat,6
96,berlin-hotel-191437-review-10.json_10,"Almost everything in Germany had English translations, but not the machines there.",0.0,almost everything in germany had english translations but not the machines there,80,almost everything in germany had english translations but not the machines there,almost everything germany english translations machines,6
97,berlin-hotel-191437-review-10.json_11,"With the highest breakfast prices we've ever seen, it would have been nice to have in-room beverage stations/coffee makers like one usually finds in Westins.",1.0,with the highest breakfast prices we've ever seen it would have been nice to have in-room beverage stations/coffee makers like one usually finds in westins,155,with the highest breakfast prices weve ever seen it would have been nice to have inroom beverage stationscoffee makers like one usually finds in westins,highest breakfast prices weve ever seen would nice inroom beverage stationscoffee makers like one usually finds westins,17
98,berlin-hotel-191437-review-10.json_12,There's a fantastic deli across the street where we purchased breakfast for four for half the price of a single continental breakfast at the hotel.,0.0,there's fantastic deli across the street where we purchased breakfast for four for half the price of single continental breakfast at the hotel,142,theres fantastic deli across the street where we purchased breakfast for four for half the price of single continental breakfast at the hotel,theres fantastic deli across street purchased breakfast four half price single continental breakfast hotel,14
99,berlin-hotel-191437-review-10.json_13,The hotel had two positives: the concierge service and the location.,0.0,the hotel had two positives the concierge service and the location,66,the hotel had two positives the concierge service and the location,hotel two positives concierge service location,6
100,berlin-hotel-191437-review-10.json_14,The room price was actually pretty reasonable.,0.0,the room price was actually pretty reasonable,45,the room price was actually pretty reasonable,room price actually pretty reasonable,5
101,berlin-hotel-191437-review-11.json_0,"This is an upscale business hotel, not a luxury hotel.",0.0,this is an upscale business hotel not luxury hotel,50,this is an upscale business hotel not luxury hotel,upscale business hotel luxury hotel,5
102,berlin-hotel-191437-review-11.json_1,"The location is great,",0.0,the location is great,21,the location is great,location great,2
103,berlin-hotel-191437-review-11.json_2,breakfast was excellent and the beds are fabulous,0.0,breakfast was excellent and the beds are fabulous,49,breakfast was excellent and the beds are fabulous,breakfast excellent beds fabulous,4
104,berlin-hotel-191437-review-11.json_3,but it lacks character and charm.,0.0,but it lacks character and charm,32,but it lacks character and charm,lacks character charm,3
105,berlin-hotel-191437-review-11.json_4,There was no luggage rack,0.0,there was no luggage rack,25,there was no luggage rack,luggage rack,2
106,berlin-hotel-191437-review-11.json_5,although a call to housekeeping solved this problem.,0.0,although call to housekeeping solved this problem,49,although call to housekeeping solved this problem,although call housekeeping solved problem,5
107,berlin-hotel-191437-review-11.json_6,There was only 1 chair,0.0,there was only chair,20,there was only chair,chair,1
108,berlin-hotel-191437-review-11.json_7,and the room was small.,0.0,and the room was small,22,and the room was small,room small,2
109,berlin-hotel-191437-review-11.json_8,This was the last place we stayed after 2 weeks in Germany,0.0,this was the last place we stayed after weeks in germany,56,this was the last place we stayed after weeks in germany,last place stayed weeks germany,5
110,berlin-hotel-191437-review-11.json_9,and it was disappointing to end our trip in a place that was so sterile and impersonal.,0.0,and it was disappointing to end our trip in place that was so sterile and impersonal,84,and it was disappointing to end our trip in place that was so sterile and impersonal,disappointing end trip place sterile impersonal,6
111,berlin-hotel-191437-review-12.json_0,"The Hotel staff were attentive,",0.0,the hotel staff were attentive,30,the hotel staff were attentive,hotel staff attentive,3
112,berlin-hotel-191437-review-12.json_1,"and I enjoyed the location (near Brandenburg, Museum Island, etc), but I wasn't blown away.",0.0,and enjoyed the location near brandenburg museum island etc but wasn't blown away,81,and enjoyed the location near brandenburg museum island etc but wasnt blown away,enjoyed location near brandenburg museum island etc wasnt blown away,10
113,berlin-hotel-191437-review-12.json_2,"I stayed in one of the renovated rooms,",0.0,stayed in one of the renovated rooms,36,stayed in one of the renovated rooms,stayed one renovated rooms,4
114,berlin-hotel-191437-review-12.json_3,and the room itself was quite comfortable--but very small.,0.0,and the room itself was quite comfortable--but very small,57,and the room itself was quite comfortablebut very small,room quite comfortablebut small,4
115,berlin-hotel-191437-review-12.json_4,"My main impression was that the place seemed rather empty, even though I was there during one of the busiest weeks for Berlin tourism (ITB).",0.0,my main impression was that the place seemed rather empty even though was there during one of the busiest weeks for berlin tourism itb,134,my main impression was that the place seemed rather empty even though was there during one of the busiest weeks for berlin tourism itb,main impression place seemed rather empty even though one busiest weeks berlin tourism itb,14
116,berlin-hotel-191437-review-12.json_5,"If you want a quiet Hotel near tourist sites, this is for you.",0.0,if you want quiet hotel near tourist sites this is for you,58,if you want quiet hotel near tourist sites this is for you,want quiet hotel near tourist sites,6
117,berlin-hotel-191437-review-12.json_6,"If you're looking for that famous Berlin nightlife, look elsewhere.",1.0,if you're looking for that famous berlin nightlife look elsewhere,65,if youre looking for that famous berlin nightlife look elsewhere,youre looking famous berlin nightlife look elsewhere,7
