Name	Gender				
දිනුජි	Female				
දිනුක	Female				
දිනුකි	Female				
දිනුලි	Female				
දිනුති	Female				
දිනුත්නි	Female				
දිසානා	Female				
දිශා	Female				
දිසුලි	Female				
දිත්මි	Female				
දිවීෂා	Female				
දිවෙත්මා	Female				
දිව්‍යංගනී	Female				
දිව්‍යංගි	Female				
දිව්‍යානි	Female				
දිව්‍යාංජලි	Female				
දියනා	Female				
දියන්සා	Female				
දුආශා	Female				
දුහාරා	Female				
දුලන්දරා	Female				
දුලංගි	Female				
දුලංසා	Female				
දුලන්යා	Female				
දුලාෂි	Female				
දුලීෂා	Female				
දුලේෂා	Female				
දුලේෂ්මි	Female				
දුලේශ්නි	Female				
දුල්හාරා	Female				
දුලිනි	Female				
දුලිති	Female				
දුල්මි	Female				
දුල්මිතා	Female				
දුල්නෙති	Female				
දුල්නි	Female				
දුල්නිතා	Female				
දුල්ෂාරා	Female				
දුල්ෂි	Female				
දුමාලමි	Female				
දුමල්ෂා	Female				
දුනාරා	Female				
දුනීෂා	Female				
දුනෙත්මා	Female				
දුනිති	Female				
දුශානි	Female				
දුවේනි	Female				
ඉමාෂා	Female				
එසන්දි	Female				
එෂානි	Female				
ගවේශී	Female				
ගව්රාවි	Female				
ගයාන්දි	Female				
ගයත්මා	Female				
ගයෝමි	Female				
ගයුකි	Female				
ගෙවින්නයා	Female				
ගිහාමි	Female				
ගිහංගා	Female				
ගිම්සාරා	Female				
ගිෂෝනු	Female				
ගීත්මා	Female				
ගීත්මි	Female				
ගුවානි	Female				
හරිනි	Female				
හරින්යා	Female				
හසන්දි	Female				
හසින්දි	Female				
හස්මිනි	Female				
හේමාෂි	Female				
හනීෂා	Female				
හෙසන්යා	Female				
හේෂාදි	Female				
හේෂානි	Female				
හේෂිනි	Female				
හෙෂ්නි	Female				
හිමංසා	Female				
හිමාරා	Female				
හිමායා	Female				
හිමෙනා	Female				
හිමෙත්මි	Female				
හිම්සාදි	Female				
හිරන්‍යා	Female				
හිරුජා	Female				
හිරුකි	Female				
හිරුන්දි	Female				
හිතේෂි	Female				
හිත්මි	Female				
හිතුෂි	Female				
ඉලීෂා	Female				
ඉමන්දි	Female				
ඉමානි	Female				
ඉමංෂා	Female				
ඉමාන්යා	Female				
ඉමායා	Female				
ඉමෙල්කා	Female				
ඉමේෂා	Female				
ඉන්හාරා	Female				
ඉන්සාරි	Female				
ඉනුදි	Female				
ඉනුගි	Female				
ඉනුමි	Female				
ඉරෝමා	Female				
ඉරෝෂා	Female				
ඉර්ෂානි	Female				
ඉරුෂි	Female				
ඉරුත්මා	Female				
ඉසාරි	Female				
ඉෂිනි	Female				
ඉසුලි	Female				
ඉතික්ෂා	Female				
ජනීෂා	Female				
ජනෙත්‍යා	Female				
ජනිදි	Female				
ජනිත‍්‍රිකා	Female				
ජානිත්‍ය	Female				
ජානුකි	Female				
ජනුලි	Female				
ජනුනි	Female				
ජනුති	Female				
ජාවිත්‍යා	Female				
ජයමි	Female				
ජයවි	Female				
ජෙහන්සා	Female				
ජෙනුලි	Female				
ජෙරෝමි	Female				
ජෙත්මි	Female				
ජිනෙත්මා	Female				
ජොආනා	Female				
කවිත්මා	Female				
කව්මින්දි	Female				
කවිති	Female				
කේමිණි	Female				
කෙනුලි	Female				
කේශනා	Female				
කේතකී	Female				
කෙත්මි	Female				
කෙයාරා	Female				
කිනුරි	Female				
කිෂේනි	Female				
කිත්මි	Female				
කිත්මිණි	Female				
කිත්නුලි	Female				
කිතුකි	Female				
කෝෂෙලා	Female				
ක්‍රිෂා	Female				
ක්‍රිෂෙයිනි	Female				
ක්‍රිෂින්‍යා	Female				
කුලංස	Female				
කුල්ෂාලි	Female				
කුල්ශානි	Female				
කුෂානි	Female				
ලනීෂා	Female				
ලාවන්‍යා	Female				
ලෙහංසි	Female				
ලෙමාෂා	Female				
ලෙනාෂා	Female				
ලෙසන්මා	Female				
ලෙසන්සා	Female				
ලිහංසා	Female				
ලිහිණි	Female				
ලිමන්සා	Female				
ලිනාෂා	Female				
ලිනෝජා	Female				
ලිසාදි	Female				
ලිසන්සා	Female				
ලිසන්යා	Female				
ලිසාරා	Female				
ලිසස්නා	Female				
ලිසිනි	Female				
ලිතජා	Female				
ලිතාරා	Female				
ලිත්මිණි	Female				
ලිතුලි	Female				
ලිතුල්කි	Female				
ලිතුමි	Female				
ලිතුනි	Female				
ලියන	Female				
ලොහාරා	Female				
ලොහාෂා	Female				
ලෝතිකා	Female				
මධුෂලනි	Female				
මහේෂිකා	Female				
මහීමා	Female				
මලීෂා	Female				
මාලිකා	Female				
මලින්දි	Female				
මලින්ෂා	Female				
මල්කි	Female				
මල්ෂි	Female				
මන්දාකිනි	Female				
මානෙල්කා	Female				
මනෝදා	Female				
මනෝද්‍යා	Female				
මනෝදි	Female				
මනෝලි	Female				
මනෝත්මි	Female				
මනුදී	Female				
මනුගි	Female				
මනුජි	Female				
මනුකි	Female				
මනුති	Female				
මපාෂා	Female				
මතීෂා	Female				
මයිති	Female				
මයෝමි	Female				
මයුවින්දි	Female				
මේදිති	Female				
මෙලන්කා	Female				
මෙලින්සා	Female				
මෙනුලි	Female				
මෙනුරි	Female				
මෙත්තාරා	Female				
මෙත්මි	Female				
මෙත්නාදි	Female				
මෙත්නි	Female				
මෙත්සිලිනි	Female				
මෙත්සිළුනි	Female				
මෙත්සිසි	Female				
මෙත්සුවි	Female				
මෙතුකි	Female				
මෙතුලි	Female				
මෙතුමිණි	Female				
මෙතුනි	Female				
මෙතුනිමා	Female				
මෙතුශා	Female				
මෙතුෂි	Female				
මිහාරා	Female				
මිහේලි	Female				
මිහින්දි	Female				
මිහින්දි	Female				
මිහිනි	Female				
මිකෙලා	Female				
මිනාදි	Female				
මින්දාරා	Female				
මින්දුනි	Female				
මින්හා	Female				
මිනෝලි	Female				
මිනෝෂා	Female				
මින්සහා	Female				
මින්සරා	Female				
මිනුලි	Female				
මිනුමි	Female				
මිනුරි	Female				
මිනූෂා	Female				
මිසාදී	Female				
මිෂාදි	Female				
මිෂෙලි	Female				
මිතිලි	Female				
මිතුකි	Female				
මිතුමි	Female				
මියුරංගි	Female				
මෝදිතා	Female				
මොනීෂා	Female				
මුදිතා	Female				
නදෙව්නි	Female				
නදීංස	Female				
නදීන්ෂා	Female				
නදුලි	Female				
නජීලියා	Female				
නාලිකා	Female				
නවනී	Female				
නවනි	Female				
නවෝලි	Female				
නෙහන්සා	Female				
නෙහාරා	Female				
නෙහාරි	Female				
නෙසගි	Female				
නෙසන්දි	Female				
නේෂාන්දි	Female				
නේෂාරි	Female				
නෙතංගි	Female				
නෙතන්යා	Female				
නෙතාරා	Female				
නෙතාරි	Female				
නෙත්මිකා	Female				
නෙත්සරණි	Female				
නෙතුගි	Female				
නෙතුකි	Female				
නෙතුලි	Female				
නෙතුලිමා	Female				
නෙතුමි	Female				
නෙතුනි	Female				
නෙතුනිකා	Female				
නෙතුපා	Female				
නෙතුසාදි	Female				
නෙතුෂිමා	Female				
නෙතුෂි	Female				
නෙතූ	Female				
නිදියා	Female				
නිහන්සා	Female				
නිහාරි	Female				
නිකිණි	Female				
නිකිටා	Female				
නිකිතා	Female				
නිලේෂි	Female				
නිල්මි	Female				
නිම්හානි	Female				
නිම්නා	Female				
නිම්නි	Female				
නිම්රා	Female				
නිම්ෂාදි	Female				
නිම්ෂි	Female				
නිම්තාරා	Female				
නිපුල්මා	Female				
නිරෝදා	Female				
නිරෝෂිකා	Female				
නිසදිම	Female				
නිසාරි	Female				
නිශිත්මා	Female				
නිසුරි	Female				
නිතාරා	Female				
නිතීෂා	Female				
නිතිකා	Female				
නිතිලි	Female				
නිතිල්ක	Female				
නිත්මි	Female				
නිතුලි	Female				
නිතුනි	Female				
නිත්‍යා	Female				
නිවේන්යා	Female				
නුහන්සා	Female				
නුහන්ෂා	Female				
නුරේෂි	Female				
නුතරා	Female				
නුවන්දර	Female				
නුවන්දි	Female				
ඔමෙත්මි	Female				
ඔමින්දි	Female				
ඔනෙලා	Female				
ඔනෙලි	Female				
ඔනීෂා	Female				
ඔසන්දි	Female				
ඔෂානි	Female				
ඔෂාරි	Female				
ඔෂිකා	Female				
ඔෂිනි	Female				
ඕවින්දි	Female				
ඔවිනි	Female				
පහන්යා	Female				
පමෝදි	Female				
පමුදි	Female				
පසන්දි	Female				
පසින්ද්‍ය	Female				
පෙත්මි	Female				
පිනිදි	Female				
පූර්ණි	Female				
පොෂ්යා	Female				
ප්‍රතිභාවි	Female				
ප්‍රවිශ්ක	Female				
ප්‍රේමන්දි	Female				
ප්‍රික්ෂලා	Female				
පුබුද්මි	Female				
පුමිදි	Female				
පූර්මි	Female				
පූර්ණි	Female				
පූර්වි	Female				
රයිනි	Female				
රලිනි	Female				
රන්මි	Female				
රන්මිණි	Female				
රන්රුවී	Female				
රනුලි	Female				
රෂානි	Female				
රශෙරා	Female				
රශිකා	Female				
රෂින්දි	Female				
රශ්මින්දි	Female				
රශ්විනී	Female				
රසුනි	Female				
රවීන්දි	Female				
රෙහා	Female				
රෙහන්සා	Female				
රෙහාන්ෂා	Female				
රෙහස්නි	Female				
රෙනීෂා	Female				
රෙනීෂා	Female				
රෙන්රුවි	Female				
රේණුෂි	Female				
රෙෂාදි	Female				
රෙෂානි	Female				
රෙශේනි	Female				
රෙෂ්මින්දි	Female				
රෙසුනි	Female				
රේතිකා	Female				
රෙත්නි	Female				
රෙතුෂි	Female				
රිගාෂා	Female				
රිසන්දි	Female				
රිසත්යා	Female				
රිෂ්නි	Female				
රිත්මි	Female				
රිතූ	Female				
රිව්කා	Female				
රියෝනි	Female				
රොමේෂිකා	Female				
රොමිෂ්කා	Female				
රොනීෂා	Female				
රොශ්මි	Female				
රොශ්නි	Female				
රුහල්ෂි	Female				
රුහන්සා	Female				
රුමේද	Female				
රුමිකා	Female				
රුනිදි	Female				
රුසිරින්දි	Female				
රුවීෂා	Female				
රුවින්දි	Female				
රුවින්කා	Female				
රුවින්සා	Female				
රුවිෂා	Female				
රුවිති	Female				
රුවිත්මා	Female				
සදේශා	Female				
සදෙව්මි	Female				
සදෙව්නි	Female				
සහේලි	Female				
සහිනි	Female				
සකිත්මා	Female				
සකිත්මි	Female				
සකුනි	Female				
සමලි	Female				
සාමිත්‍රී	Female				
සඳලි	Female				
සඳමිනී	Female				
සඳනි	Female				
සඳපාමි	Female				
සඳසි	Female				
සන්දීෂා	Female				
සඳෙව්මා	Female				
සඳෙව්මි	Female				
සඳෙව්නි	Female				
සඳිනි	Female				
සඳුනිකා	Female				
සඳුපමා	Female				
සනීරා	Female				
සනෙලි	Female				
සනිති	Female				
සනිත්යා	Female				
සංජලී	Female				
සංකේති	Female				
සනොලි	Female				
සනුදි	Female				
සනුගි	Female				
සනුජනා	Female				
සනුකි	Female				
සනුලි	Female				
සනුමි	Female				
සනුෂි	Female				
සනුති	Female				
සනුත්මි	Female				
සන්යා	Female				
සාරන්යා	Female				
සාරින්දි	Female				
සරුති	Female				
සසන්දි	Female				
සසංක	Female				
සසන්යා	Female				
සසේලි	Female				
සසේනි	Female				
සසෙන්යා	Female				
ශෂිනි	Female				
සසිකි	Female				
සසින්දි	Female				
සසිනි	Female				
සස්මිලි	Female				
සස්නි	Female				
සස්නිති	Female				
සස්වින්දි	Female				
සත්නාදි	Female				
සත්නිදි	Female				
සැවන්දි	Female				
සවිද්‍යා	Female				
සවින්දි	Female				
සවිනි	Female				
සවින්යා	Female				
සවන්දි	Female				
සයාරා	Female				
සයුම්දි	Female				
සයුමි	Female				
සයුනි	Female				
සයුරිනි	Female				
සෙනුදි	Female				
සෙනුද්‍රි	Female				
සෙනුලි	Female				
සෙනුල්යා	Female				
සෙනුත්මි	Female				
සෙනුත්‍රි	Female				
ශේෂා	Female				
සේතක්ෂ	Female				
සෙතුලි	Female				
සෙතුම්ලි	Female				
සේයාලි	Female				
සෙයාර	Female				
ෂහේන්සා	Female				
ශයිනි	Female				
ශලනි	Female				
ශාලිය	Female				
ශලෝමි	Female				
ශමේන්ද්‍රි	Female				
ශනාලි	Female				
ෂැනලි	Female				
ශානියා	Female				
ශනුලි	Female				
ශනුති	Female				
ශෂේරා	Female				
ශෂින්දි	Female				
ශෂිනි	Female				
ශෂ්ලිනා	Female				
ශෂ්ලිනි	Female				
ශෂ්මි	Female				
ශෂ්නි	Female				
ශෂ්විනි	Female				
ශෙලනී	Female				
ෂෙලි	Female				
ශෙලෝමි	Female				
ෂෙමායා	Female				
ශෙනරා	Female				
ශේනු	Female				
ශේනු	Female				
ශෙරා	Female				
ශෙරි	Female				
ශේෂාදි	Female				
ශෙවීනා	Female				
ශෙයාලි	Female				
ශිවෝනා	Female				
සිහන්සා	Female				
සිහත්ම	Female				
සිනෙලි	Female				
සිතීෂා	Female				
සිතේජා	Female				
සිතිකී	Female				
සිතිලි	Female				
සිත්ලිනි	Female				
සිත්මි	Female				
සිත්නි	Female				
සිත්සිසි	Female				
සිතුකි	Female				
සිතුලි	Female				
සිතුම්දි	Female				
සිතුම්සරා	Female				
සිතුනි	Female				
සියත්‍රා	Female				
සොරාය	Female				
සුලක්ක්‍යා	Female				
සුමෙත්මා	Female				
සුනෙල්කා	Female				
සුපිපි	Female				
සුරින්දි	Female				
සුවනි	Female				
සුවින්දි	Female				
සුවිනි	Female				
තමිල්කා	Female				
තනකා	Female				
තනවී	Female				
ටනීෂා	Female				
තනුෂි	Female				
තාරුකි	Female				
ටෙහානි	Female				
තෙනුජි	Female				
තෙනුලි	Female				
ටෙනුරි	Female				
ටෙසී	Female				
තමල්කා	Female				
තමෂා	Female				
තමෂි	Female				
තනීෂා	Female				
තනුකි	Female				
තනූෂා	Female				
තනුෂ්ක	Female				
තනුෂ්කි	Female				
තරුකි	Female				
තරින්දි	Female				
තරින්ද්‍යා	Female				
තරිනි	Female				
තරිත්මා	Female				
තරුදි	Female				
තාරුකී	Female				
තරුලි	Female				
තරුල්‍ය	Female				
තරුණදි	Female				
තරුපමා	Female				
තෂ්මි	Female				
තෂ්මිකා	Female				
තශ්නි	Female				
තසිනි	Female				
තත්සරණි	Female				
තෙහානි	Female				
තේජා	Female				
තේනුකි	Female				
තේනුරි	Female				
තේනුත්මි	Female				
තෙපුලි	Female				
තෙසරි	Female				
තේෂානා	Female				
තෙෂාරි	Female				
තෙවින්දි	Female				
තිලාරා	Female				
තිලින්යා	Female				
තිමාලි	Female				
තිමෙත්යා	Female				
තිනාරා	Female				
තිනිති	Female				
තිනුදි	Female				
තිනුගි	Female				
තිනුමි	Female				
තිරුණි	Female				
තිසන්දි	Female				
තිසංසා	Female				
තිසරණි	Female				
තිසාරි	Female				
තිසෙත්මි	Female				
තිශංෂා	Female				
තිසිදි	Female				
තිසිනි	Female				
තිසුලි	Female				
තිසුමි	Female				
තිසුනි	Female				
තිවෙන්යා	Female				
තිවින්දි	Female				
ත්‍රිශ්නි	Female				
තුල්යා	Female				
තුල්නෙති	Female				
තුශාදි	Female				
තුසුම්ලි	Female				
තුවේශ	Female				
තිමාෂා	Female				
තිනාරා	Female				
තිසාදි	Female				
තිසරි	Female				
තිශානි	Female				
උමේෂිකා	Female				
උෂ්මිලා	Female				
උත්තරා	Female				
උතුමි	Female				
උවන්යා	Female				
උවින්දි	Female				
වෙනුදි	Female				
වෙනුකි	Female				
වෙනුති	Female				
විචක්ෂණී	Female				
විදස්නා	Female				
විදුදිනී	Female				
විදුලන	Female				
විදුනදී	Female				
විහගි	Female				
විහන්දි	Female				
විහඟ	Female				
විහඟි	Female				
විහංසා	Female				
විහාරි	Female				
විහේලි	Female				
විහිනි	Female				
විමල්ෂා	Female				
විමල්ෂි	Female				
විමන්ෂා	Female				
විචාරණ	Female				
විමාෂා	Female				
විමාෂි	Female				
විමාෂි	Female				
වින්ද්‍යා	Female				
වින්දි	Female				
විඳුලි	Female				
විනෝෂි	Female				
විනුදි	Female				
විනුදිනි	Female				
විනුගි	Female				
විනුකි	Female				
විනුලි	Female				
විනුරි	Female				
විනුති	Female				
විරංගි	Female				
විශානි	Female				
විශ්මි	Female				
විශ්නි	Female				
විශ්වි	Female				
විතිල	Female				
විතුලි	Female				
විතුමි	Female				
විතුනි	Female				
විවේකා	Female				
වොලීෂා	Female				
වරුෂි	Female				
වෙත්මිණි	Female				
යමින්සා	Female				
යංසිලි	Female				
යනුරි	Female				
යනුෂි	Female				
යසස්වි	Female				
යශිකා ය	Female				
යශ්නි	Female				
යසිනි	Female				
යසින්තා ය	Female				
යෙහන්සා	Female				
යෙහාරා	Female				
යෙහාරි	Female				
යෙහෙනි	Female				
යේමන්සා	Female				
යේනාරා	Female				
යෙනෙල්කා	Female				
යෙන්මා	Female				
යෙනුකි	Female				
යෙනුලි	Female				
යෙනුෂි	Female				
යෙෂිකා	Female				
යෙත්මා	Female				
යෙත්මි	Female				
යොමාෂි	Female				
යුහන්සා	Female				
යුපස්නා	Female				
යුත්මි	Female				
යුවනි	Female				
අබීත	Male				
අභිලාෂ්	Male				
අබිනද	Male				
අභිනුක	Male				
අබිසස්	Male				
අචිර	Male				
ආදම්	Male				
අදීක්ෂණ	Male				
අදීප	Male				
අදීශ්	Male				
අදිත	Male				
අගශ්	Male				
අගතිසි	Male				
අකීශ	Male				
අකේන්	Male				
අකිදු	Male				
අකිල	Male				
අකිත්	Male				
ආලෝක	Male				
අමල්ක	Male				
අමාමත්	Male				
අමයුරු	Male				
අමිල්ක	Male				
අමින්ද	Male				
ඇන්ඩෘ	Male				
අනිදු	Male				
අනුද	Male				
අනුදිත	Male				
අනුජ	Male				
අනුජිත	Male				
අනුසාර	Male				
අනුසස්	Male				
අපූර්ව	Male				
අරයන්	Male				
අරිතාක	Male				
අරෝෂ්	Male				
අර්ෂිංස	Male				
අසෙල්	Male				
අශාල්	Male				
අශෙල්	Male				
අශ්වික	Male				
අසිඳු	Male				
අත්සර	Male				
අයන්	Male				
අයෙන්	Male				
අයේශ්	Male				
අයෝද්‍ය	Male				
අයෝමල්	Male				
අයෝශ්	Male				
ආයුක	Male				
බානුජා	Male				
බෂානා	Male				
භාෂිත	Male				
බාසිත්	Male				
බාසුරා	Male				
භාතික	Male				
බවිඳු	Male				
බෙහන්ස	Male				
බෙලිඳු	Male				
බෙනුල්	Male				
බෙනුලා	Male				
බිගුන්	Male				
බිහග	Male				
බිහාන්	Male				
බිහන්දු	Male				
බිහාරය	Male				
බිහිඳු	Male				
බිමල්ෂා	Male				
බිම්සර	Male				
බිම්සිත	Male				
බිනද	Male				
බිනර	Male				
බිනුක	Male				
බිනුල	Male				
බිනුර	Male				
බිනූෂ	Male				
බිපුල්	Male				
බිතුල්	Male				
බොනිදු	Male				
බෝනුක	Male				
බොනුල	Male				
බෝනුර	Male				
බෝසිළු	Male				
බ්‍රිනල්	Male				
බුමිදු	Male				
බුවනෙක	Male				
බුවිඳු	Male				
චමදිත්	Male				
චමත්	Male				
චමිදු	Male				
චමුදිත	Male				
චන්දුප	Male				
චානේරු	Male				
චානෙත්	Male				
චනිදුල	Male				
චනිත්	Male				
චන්මිර	Male				
චානුග	Male				
චානුක්	Male				
චානුක	Male				
චානුල්	Male				
චනුත්	Male				
චාරින්	Male				
චාතික	Male				
චතුරක	Male				
චතුමිණ	Male				
චතුන්ක	Male				
චතුෂ්	Male				
චත්විදු	Male				
ෂෙනාල්	Male				
චේනිත	Male				
චෙනුල	Male				
චෙනුෂ්	Male				
චෙනුෂ්ක	Male				
චිතිල	Male				
දක්ෂිණ	Male				
දක්ෂිත	Male				
දම්හිරු	Male				
දමිෂ්ක	Male				
දමිතු	Male				
දම්නාත්	Male				
දම්නිදු	Male				
දම්නිරු	Male				
දම්රිසි	Male				
දම්සන	Male				
දම්සත්	Male				
දම්සිලු	Male				
දමියුරු	Male				
දනිදු	Male				
දනිරු	Male				
දනිත	Male				
ඩැනියෙල්	Male				
දනොත්	Male				
දනුජ	Male				
දසිරු	Male				
දසුල	Male				
දීමන්ත	Male				
දේහාන්	Male				
දෙහෙන්	Male				
දෙනෙත්	Male				
ඩෙනුල්	Male				
දේනුෂ්	Male				
දෙනුවන	Male				
දෙසදුල්	Male				
දෙසස්	Male				
දෙසත්	Male				
ඩෙවින්	Male				
දෙවිට	Male				
දෙව්මික	Male				
දෙව්මින්	Male				
දෙව්මිත්	Male				
ඩෙනිත්	Male				
දෙව්නිත	Male				
දෙව්නුල	Male				
දෙව්රම්	Male				
දෙව්සර	Male				
දෙව්ශිත	Male				
දෙව්තරු	Male				
දෙව්තිලින	Male				
දිදුකිත්මින	Male				
දිදුල්	Male				
දිදුල	Male				
දිදුලංග	Male				
දික්නිත	Male				
ඩිලාන	Male				
දිලනක	Male				
දිලංක	Male				
ඩිලාන්ෂා	Male				
දිලින්	Male				
දිල්මෙත්	Male				
දිල්මින	Male				
දිල්මිත්	Male				
දිල්නෙත්	Male				
දිලෝෂණ	Male				
දිල්ෂා	Male				
දිල්ෂික	Male				
දීමන්ත	Male				
දිම්සර	Male				
ඩිම්සිත්	Male				
දිමුදු	Male				
ඩිනල්	Male				
දිනල	Male				
ඩිනාර්ත්	Male				
ඩින්හාස්	Male				
දිනිදු	Male				
දිනිජය	Male				
දිනිමුතු	Male				
ඩිනෝල්	Male				
දිනසර	Male				
දිනුල්	Male				
දිනුමිත්	Male				
දිනුපමා	Male				
දිනුර	Male				
දිනුෂාන්	Male				
දිනුත්	Male				
දිරිනෙත්	Male				
දිසාල්	Male				
දිසාල	Male				
දිසස්	Male				
ඩිසෙන්	Male				
දිසිදු	Male				
දිසිර	Male				
දිතිර	Male				
දිව්‍යාංග	Male				
දියන්	Male				
ඩයොන්	Male				
දුහන්ස	Male				
දුලාන්	Male				
දුලංග	Male				
දුලන්ත	Male				
දුලන්	Male				
දුල්හාර	Male				
දුලින්	Male				
දුලිනා	Male				
දුලින්ස	Male				
දුලිත්	Male				
දුලිත	Male				
දුල්න	Male				
දුල්මෙත්	Male				
දුල්මින්	Male				
දුල්මින	Male				
දුල්මිත්	Male				
දුල්මිත	Male				
දුල්නෙත්	Male				
දුල්ෂ	Male				
දුමල්ෂ	Male				
දුවිඳු	Male				
දුවේන්	Male				
ඩ්වින්	Male				
එමාල්	Male				
එමල්ක	Male				
එමිත්	Male				
එනෝර්ක්	Male				
ඒනොෂ්	Male				
එනෝෂ	Male				
එරන්දිත්	Male				
එරායන්	Male				
එසඳු	Male				
එෂල	Male				
එෂාන් ඊඩන්	Male				
එෂාර	Male				
ඊතන්	Male				
එතිෂ්	Male				
ෆ්ලින්	Male				
ෆ්රෑන්ක්	Male				
ගදීෂ	Male				
ගගාමින	Male				
ගගන්	Male				
ගන්ධීර	Male				
ගනිදු	Male				
ගරුක	Male				
ගවේශ්	Male				
ගවිත්	Male				
ගයානුක	Male				
ගයාෂික	Male				
ගයෝමිත	Male				
ගීනෙත්	Male				
ගීනුක	Male				
ගීෂාන්	Male				
ගීසිලු	Male				
ගීසිත්	Male				
ගිහංස	Male				
ගිහන්සිත්	Male				
ගිමන්සා	Male				
ගිනුක	Male				
ගිනුර	Male				
ගිෂාන්	Male				
ගිවන්ත	Male				
ගෝෂිත	Male				
හංසදා	Male				
හංසජා	Male				
හංසක	Male				
හංසනා	Male				
හන්සිදු	Male				
හරිත්	Male				
හරිත	Male				
හරිත	Male				
හරුන්	Male				
